T,AGF,Avg_Leakage
1.695000000000000000e+02,9.999935212740522772e-01,6.478673776788568262e-06
1.700000000000000000e+02,9.999988297048190145e-01,1.170293860486282256e-06
1.705000000000000000e+02,9.999875658524068900e-01,1.243394675043418829e-05
1.710000000000000000e+02,9.999974558051161200e-01,2.544186918251867269e-06
1.715000000000000000e+02,9.999941108377592425e-01,5.889121466706725982e-06
1.720000000000000000e+02,9.999986332074893847e-01,1.366790657764127559e-06
1.725000000000000000e+02,9.999890841189730262e-01,1.091572669464913048e-05
1.730000000000000000e+02,9.999970153094356329e-01,2.984671288785989418e-06
1.735000000000000000e+02,9.999957135848550616e-01,4.286395467567594153e-06
1.740000000000000000e+02,9.999983573638420165e-01,1.642631232035007827e-06
1.745000000000000000e+02,9.999920626003468982e-01,7.937318739159593406e-06
1.750000000000000000e+02,9.999962124561461163e-01,3.787505667540713716e-06
1.755000000000000000e+02,9.999975147193985725e-01,2.485274901431466787e-06
1.760000000000000000e+02,9.999977457916964241e-01,2.254196875606240269e-06
1.765000000000000000e+02,9.999952793545704433e-01,4.720617263531678987e-06
1.770000000000000000e+02,9.999945593089998308e-01,5.440628362940458373e-06
1.775000000000000000e+02,9.999986668250647748e-01,1.333173081374816604e-06
1.780000000000000000e+02,9.999966170641634289e-01,3.382915250371709703e-06
1.785000000000000000e+02,9.999976424280410114e-01,2.357565008992423827e-06
1.790000000000000000e+02,9.999921239702667108e-01,7.875932433787369291e-06
1.795000000000000000e+02,9.999988491990240425e-01,1.150799485483133822e-06
1.800000000000000000e+02,9.999952357853139073e-01,4.764182372829495193e-06
1.805000000000000000e+02,9.999987667479043330e-01,1.233250163990007309e-06
1.810000000000000000e+02,9.999897127261343499e-01,1.028713056450136776e-05
1.815000000000000000e+02,9.999983738831502711e-01,1.626114743302764509e-06
1.820000000000000000e+02,9.999942642812660321e-01,5.735676912421716622e-06
1.825000000000000000e+02,9.999989744619677268e-01,1.025536873200394439e-06
1.830000000000000000e+02,9.999884494467596863e-01,1.155037947819792521e-05
1.835000000000000000e+02,9.999977984215313587e-01,2.201573653382027373e-06
1.840000000000000000e+02,9.999943128837909256e-01,5.687077443417010159e-06
1.845000000000000000e+02,9.999988313560376207e-01,1.168642754123538907e-06
1.850000000000000000e+02,9.999890556980297607e-01,1.094414678171062860e-05
1.855000000000000000e+02,9.999973813371154652e-01,2.618650864150140478e-06
1.860000000000000000e+02,9.999954534906372317e-01,4.546486396916904482e-06
1.865000000000000000e+02,9.999986276273800101e-01,1.372369961005759365e-06
1.870000000000000000e+02,9.999913579018002707e-01,8.642001882996908080e-06
1.875000000000000000e+02,9.999968501103152496e-01,3.149863692430976414e-06
1.880000000000000000e+02,9.999971152268726238e-01,2.884765083144280595e-06
1.885000000000000000e+02,9.999982367900226432e-01,1.763203051674544497e-06
1.890000000000000000e+02,9.999943926620202816e-01,5.607297955512180465e-06
1.895000000000000000e+02,9.999956821059022838e-01,4.317848930179835065e-06
1.900000000000000000e+02,9.999984651673937686e-01,1.534830456728641934e-06
1.905000000000000000e+02,9.999974087998987349e-01,2.591186473721585060e-06
1.910000000000000000e+02,9.999970111060136890e-01,2.988882789933811068e-06
1.915000000000000000e+02,9.999936727263516456e-01,6.327203180278573313e-06
1.920000000000000000e+02,9.999989697854179127e-01,1.030213287345205231e-06
1.925000000000000000e+02,9.999961891455129148e-01,3.810831990191942964e-06
1.930000000000000000e+02,9.999985438366358892e-01,1.456160688140251125e-06
1.935000000000000000e+02,9.999912947012982167e-01,8.705191491431563122e-06
