epsilon,gamma_T,AGF
-7.959183673469388820e-02,5.689866029018298636e-04,9.992944394559216681e-01
-7.959183673469388820e-02,7.196856730011521675e-04,9.992099905458613485e-01
-7.959183673469388820e-02,9.102981779915217267e-04,9.991586298419768974e-01
-7.959183673469388820e-02,1.151395399326448146e-03,9.989941935127761852e-01
-7.959183673469388820e-02,1.456348477501244378e-03,9.988775257550933651e-01
-7.959183673469388820e-02,1.842069969326716331e-03,9.987665447035376509e-01
-7.959183673469388820e-02,2.329951810515372077e-03,9.984536335844717003e-01
-7.959183673469388820e-02,2.947051702551809708e-03,9.982128972785972998e-01
-7.959183673469388820e-02,3.727593720314941773e-03,9.978985067115339058e-01
-7.959183673469388820e-02,4.714866363457394238e-03,9.975119201014169823e-01
-7.959183673469388820e-02,5.963623316594642357e-03,9.968035934736715342e-01
-7.959183673469388820e-02,7.543120063354623143e-03,9.962707141590929627e-01
-7.959183673469388820e-02,9.540954763499944619e-03,9.952496947987496956e-01
-7.959183673469388820e-02,1.206792640639328847e-02,9.941956492733985407e-01
-7.959183673469388820e-02,1.526417967175233356e-02,9.926829624405963948e-01
-7.959183673469388820e-02,1.930697728883249559e-02,9.911284330972258694e-01
-7.959183673469388820e-02,2.442053094548649744e-02,9.889186649902483861e-01
-7.959183673469388820e-02,3.088843596477484910e-02,9.853107422903317758e-01
-7.959183673469388820e-02,3.906939937054620948e-02,9.823019694161858606e-01
-7.959183673469388820e-02,4.941713361323837872e-02,9.772120188163313514e-01
-7.959183673469388820e-02,6.250551925273975518e-02,9.731413280565389679e-01
-7.959183673469388820e-02,7.906043210907701124e-02,9.665789562297250059e-01
-7.959183673469388820e-02,1.000000000000000056e-01,9.575406999253551765e-01
-7.551020408163265640e-02,9.999999999999999547e-07,9.996104596709985968e-01
-7.551020408163265640e-02,1.264855216855295881e-06,9.996211033697589565e-01
-7.551020408163265640e-02,1.599858719606057360e-06,9.995751850696764640e-01
-7.551020408163265640e-02,2.023589647725155726e-06,9.996314509933271752e-01
-7.551020408163265640e-02,2.559547922699533382e-06,9.995823449027738672e-01
-7.551020408163265640e-02,3.237457542817646685e-06,9.995726041991145339e-01
-7.551020408163265640e-02,4.094915062380427237e-06,9.996110011241016169e-01
-7.551020408163265640e-02,5.179474679231212330e-06,9.996280221731622673e-01
-7.551020408163265640e-02,6.551285568595509496e-06,9.995880536829535590e-01
-7.551020408163265640e-02,8.286427728546842542e-06,9.996352018903826853e-01
-7.551020408163265640e-02,1.048113134154685250e-05,9.995720002681213190e-01
-7.551020408163265640e-02,1.325711365590110898e-05,9.995597666969940898e-01
-7.551020408163265640e-02,1.676832936811009972e-05,9.995929000388599217e-01
-7.551020408163265640e-02,2.120950887920192640e-05,9.995665748830631081e-01
-7.551020408163265640e-02,2.682695795279727390e-05,9.995862190872166764e-01
-7.551020408163265640e-02,3.393221771895329857e-05,9.995539966809822152e-01
-7.551020408163265640e-02,4.291934260128778017e-05,9.995870174537627717e-01
-7.551020408163265640e-02,5.428675439323859403e-05,9.995873336335321380e-01
-7.551020408163265640e-02,6.866488450042998925e-05,9.996040451343478628e-01
-7.551020408163265640e-02,8.685113737513520580e-05,9.995527388707087235e-01
-7.551020408163265640e-02,1.098541141987558346e-04,9.995678633408783265e-01
-7.551020408163265640e-02,1.389495494373137348e-04,9.995533969856280621e-01
-7.551020408163265640e-02,1.757510624854793067e-04,9.995330447526009632e-01
-7.551020408163265640e-02,2.222996482526195465e-04,9.995247014088778359e-01
-7.551020408163265640e-02,2.811768697974231118e-04,9.994754955722361389e-01
-7.551020408163265640e-02,3.556480306223128661e-04,9.994678096200471096e-01
-7.551020408163265640e-02,4.498432668969443876e-04,9.994124070774603741e-01
-7.551020408163265640e-02,5.689866029018298636e-04,9.994070576173906817e-01
-7.551020408163265640e-02,7.196856730011521675e-04,9.993025997924935844e-01
-7.551020408163265640e-02,9.102981779915217267e-04,9.991794652590413328e-01
-7.551020408163265640e-02,1.151395399326448146e-03,9.990729357284208190e-01
-7.551020408163265640e-02,1.456348477501244378e-03,9.989766094368809357e-01
-7.551020408163265640e-02,1.842069969326716331e-03,9.987874163599481658e-01
-7.551020408163265640e-02,2.329951810515372077e-03,9.986141941993738058e-01
-7.551020408163265640e-02,2.947051702551809708e-03,9.982886882739897549e-01
-7.551020408163265640e-02,3.727593720314941773e-03,9.978213004705555056e-01
-7.551020408163265640e-02,4.714866363457394238e-03,9.975214091227805335e-01
-7.551020408163265640e-02,5.963623316594642357e-03,9.969703062485015810e-01
-7.551020408163265640e-02,7.543120063354623143e-03,9.962458015570690995e-01
-7.551020408163265640e-02,9.540954763499944619e-03,9.952406701591531846e-01
-7.551020408163265640e-02,1.206792640639328847e-02,9.941844865326892045e-01
-7.551020408163265640e-02,1.526417967175233356e-02,9.929555664584950314e-01
-7.551020408163265640e-02,1.930697728883249559e-02,9.914660607192309350e-01
-7.551020408163265640e-02,2.442053094548649744e-02,9.888474885042497498e-01
-7.551020408163265640e-02,3.088843596477484910e-02,9.863728741117198107e-01
-7.551020408163265640e-02,3.906939937054620948e-02,9.822913245938404980e-01
-7.551020408163265640e-02,4.941713361323837872e-02,9.782002537706864231e-01
-7.551020408163265640e-02,6.250551925273975518e-02,9.734126497567119340e-01
-7.551020408163265640e-02,7.906043210907701124e-02,9.661787979289673256e-01
-7.551020408163265640e-02,1.000000000000000056e-01,9.565446483579074233e-01
-7.142857142857142461e-02,9.999999999999999547e-07,9.996389368602960346e-01
-7.142857142857142461e-02,1.264855216855295881e-06,9.996388537497676863e-01
-7.142857142857142461e-02,1.599858719606057360e-06,9.996241021127577620e-01
-7.142857142857142461e-02,2.023589647725155726e-06,9.996362526914122082e-01
-7.142857142857142461e-02,2.559547922699533382e-06,9.996618928073144339e-01
-7.142857142857142461e-02,3.237457542817646685e-06,9.996261614415381525e-01
-7.142857142857142461e-02,4.094915062380427237e-06,9.996275705921171539e-01
-7.142857142857142461e-02,5.179474679231212330e-06,9.996272248134794314e-01
-7.142857142857142461e-02,6.551285568595509496e-06,9.996270944167763295e-01
-7.142857142857142461e-02,8.286427728546842542e-06,9.996465586409587489e-01
-7.142857142857142461e-02,1.048113134154685250e-05,9.996372787022040907e-01
-7.142857142857142461e-02,1.325711365590110898e-05,9.996187580847429865e-01
-7.142857142857142461e-02,1.676832936811009972e-05,9.996352768867825533e-01
-7.142857142857142461e-02,2.120950887920192640e-05,9.996334622525657743e-01
-7.142857142857142461e-02,2.682695795279727390e-05,9.996636153749370868e-01
-7.142857142857142461e-02,3.393221771895329857e-05,9.996035543225870734e-01
